lang	filename	speaker	gend	item	inform	itemdur	f0md	f0mn	f0sd	f0hzq05	f0hzq95	f0stq05	f0stq95	f0strange	intmd	intmn	intsd
Japanese	F_ppt_17_3_pol	JF17	female	I3	pol	1.7658730158730158	201.3390870168982	213.7046160350876	55.960609554498625	175.77317651998024	373.6065883475862	89.49085157657598	102.16315518054537	12.672303603969397	50.951231805133375	54.93908830989031	6.622296418548527
Japanese	F_ppt_17_4_cas	JF17	female	I4	inform	1.9441269841269841	191.48416710043801	194.33020538614164	25.97904730937551	151.10870273944886	234.11377612916394	86.87330349096052	94.45276558794036	7.579462096979839	54.7713469992978	57.93023931826424	7.885924254073255
Japanese	F_ppt_17_4_pol	JF17	female	I4	pol	4.604829931972789	187.43754182951557	203.8621458732817	66.69066700695704	154.62958458937285	399.6677663253696	87.272067206212	103.71187032639455	16.439803120182546	45.656754061582404	52.71353390706927	8.807226234911333
Japanese	F_ppt_17_5_cas	JF17	female	I5	inform	6.27374149659864	203.93468700024198	200.23501506998284	33.184528386727735	147.75306245930102	261.41854347734676	86.48452183798288	96.36260912711573	9.87808728913285	48.15841983296086	55.292773603362086	9.893782689518353
Japanese	F_ppt_17_5_pol	JF17	female	I5	pol	21.13784580498866	176.38972812010644	192.841181295349	40.705406640036934	155.18305956409628	247.98689946752754	87.33392683319363	95.44944013263344	8.115513299439812	46.033785722592825	53.417407299503566	9.493259456624196
Japanese	F_ppt_18_1_cas	JF18	female	I1	inform	8.179319727891157	178.76900165083643	185.64853089147977	27.27009556529893	148.32299139964806	233.50859081470065	86.55116505071754	94.40798165888164	7.856816608164095	63.70607266551878	71.40707444939866	15.097170998654658
Japanese	F_ppt_18_1_pol	JF18	female	I1	pol	26.677687074829933	177.1214495627702	178.04293545111912	19.055101345869787	151.13268091608805	213.8624162930948	86.87606218269116	92.88646990039673	6.010407717705576	56.158413003358376	69.94615956016104	15.591412355367662
Japanese	F_ppt_18_2_cas	JF18	female	I2	inform	4.107664399092971	196.7943497706925	194.86966526387067	19.18770735966106	165.5024716516674	231.24047402173355	88.44850702512036	94.23848853260202	5.789981507481656	66.89959311773573	72.9575925754853	13.026802819466791
Japanese	F_ppt_18_2_pol	JF18	female	I2	pol	6.978775510204081	183.15736724210086	184.37659139439015	25.485660256807964	151.1822028883256	225.4867362445233	86.88173327476673	93.80278500813878	6.921051733372053	60.25685880751339	69.09765086030438	12.73954470172783
Japanese	F_ppt_18_3_cas	JF18	female	I3	inform	2.3765079365079367	211.7419538608115	226.33051654399534	49.78197481731738	179.94281402467087	287.4416144822872	89.89672064475253	98.00373182726271	8.107011182510178	64.85959447994347	73.78426789865549	15.672756054105946
